Epoch,Loss,Accuracy
1,0.42034394550211607,0.8428186311217613
2,0.22628643654120234,0.9186136488442913
3,0.14423342444692194,0.9490914083171085
4,0.09609767932071203,0.9659153312365832
5,0.0672869909554813,0.9768858269681993
